Country,Clicks,Impressions,CTR,Position
India,5,210,2.38%,9.97
United States,0,201,0%,6.65
Brazil,0,23,0%,5.74
Australia,0,13,0%,6.62
United Kingdom,0,12,0%,5
France,0,11,0%,5.36
Canada,0,10,0%,6.6
Indonesia,0,7,0%,5.29
Paraguay,0,7,0%,5.86
Italy,0,7,0%,6.14
Spain,0,6,0%,6.5
Argentina,0,5,0%,5.6
Chile,0,5,0%,8.6
Vietnam,0,4,0%,4.5
South Korea,0,4,0%,6.25
Japan,0,3,0%,4
Mexico,0,3,0%,4.67
Philippines,0,3,0%,4.67
Ecuador,0,3,0%,5
Poland,0,3,0%,6
Colombia,0,3,0%,6.67
Turkey,0,3,0%,12.33
Czechia,0,2,0%,5.5
Denmark,0,2,0%,5.5
Portugal,0,2,0%,8
Algeria,0,2,0%,9.5
Ireland,0,2,0%,9.5
Ethiopia,0,1,0%,1
Hong Kong,0,1,0%,2
Peru,0,1,0%,2
United Arab Emirates,0,1,0%,3
Morocco,0,1,0%,3
Slovenia,0,1,0%,3
Austria,0,1,0%,4
Guam,0,1,0%,4
Nepal,0,1,0%,4
Ukraine,0,1,0%,4
Bangladesh,0,1,0%,5
Egypt,0,1,0%,5
Belgium,0,1,0%,6
Croatia,0,1,0%,6
Netherlands,0,1,0%,6
Romania,0,1,0%,7
Saudi Arabia,0,1,0%,7
Guatemala,0,1,0%,8
Thailand,0,1,0%,8
Albania,0,1,0%,9
Hungary,0,1,0%,9
Tunisia,0,1,0%,9
Sweden,0,1,0%,10
Syria,0,1,0%,10
Uruguay,0,1,0%,10
Greece,0,1,0%,32