Date,Clicks,Impressions,CTR,Position
2026-03-02,0,84,0%,6.2
2026-03-03,0,100,0%,5.7
2026-03-04,1,70,1.43%,9.3
2026-03-05,0,64,0%,10
2026-03-06,4,100,4%,9
2026-03-07,2,76,2.63%,8
2026-03-08,2,105,1.9%,5.8
2026-03-09,2,199,1.01%,5.6
2026-03-10,3,171,1.75%,6.6
2026-03-11,5,168,2.98%,6.3
2026-03-12,0,118,0%,5.6
2026-03-13,1,115,0.87%,6.6
2026-03-14,2,157,1.27%,5.9
2026-03-15,0,161,0%,8
2026-03-16,1,177,0.56%,7.8
2026-03-17,2,116,1.72%,5.5
2026-03-18,1,116,0.86%,6.1
2026-03-19,1,129,0.78%,5.7
2026-03-20,1,105,0.95%,6.8
2026-03-21,1,122,0.82%,6
2026-03-22,0,118,0%,6.9
2026-03-23,3,129,2.33%,6.6
2026-03-24,1,96,1.04%,6.5
2026-03-25,1,119,0.84%,5.9
2026-03-26,2,136,1.47%,6.1
2026-03-27,1,116,0.86%,5.3
2026-03-28,1,103,0.97%,5.9
2026-03-29,0,132,0%,7.5